artist_id,artist_mbid,artist_name,tag_name,tag_weight
81964,4ebb5ad3-9018-407d-8c24-c03011ab9ac6,American Football,midwest emo,4
21369,fe8ab7ee-c664-4d44-aec1-5b58ae937a5c,Pitchshifter,industrial rock,2
33107,40842674-a794-4580-a0f5-e43d5b600729,Evergrey,progressive metal,7
31100,bd013a43-a262-4658-a372-b75ddba236b4,George McCrae,soul,2
8539,98087dc1-ca0a-44cc-9d3a-94c8e67a2e1a,Mortiis,dark ambient,5
2219161,b5bd7361-267a-4fbc-901b-4d5d9fa828a0,joxer,electronic,2
8539,98087dc1-ca0a-44cc-9d3a-94c8e67a2e1a,Mortiis,dungeon synth,7
468800,8af61e3f-fb60-484a-a5e7-1298f439ca4c,Citadel,progressive rock,2
1012248,33370efb-bb46-48a4-a939-28d409be8236,Hard Driver,hardstyle,2
4685,2f106f2f-5990-4f50-9590-3fa8da941f98,As Friends Rust,melodic hardcore,3
1955621,5772eb29-043f-4616-9f96-2bb060c890d7,Umbra Vitae,death metal,3
72526,3bfa8f23-2dbb-43e2-b1da-3cfaa6c5ff9d,The Time,minneapolis sound,2
900,23d9d74d-c95e-46a6-be26-a6075c49747a,Faithless,progressive house,3
72526,3bfa8f23-2dbb-43e2-b1da-3cfaa6c5ff9d,The Time,funk,2
2343490,b126b1fb-c994-46fe-b8a3-c00277879072,sammy ray,musicbrainz editor,2
14310,13655113-cd16-4b43-9dca-cadbbf26ee05,Nelly Furtado,pop,8
9296,59e22818-9da1-42be-bdd6-b1124b4a67b9,Aaron Tippin,country,4
683,515b236c-cce1-4dc2-aedd-50de7b1736e2,2 Unlimited,euro house,3
230927,9940c604-2456-4193-a403-ab18420bc1e9,Booka Shade,electronic,2
2518180,6b61f871-90af-435a-b92d-df4da722ef3e,Panmet,ambient,2
31100,bd013a43-a262-4658-a372-b75ddba236b4,George McCrae,disco,2
854275,e6e29ff5-b0e4-4985-a63f-e99d12b21728,Feint,drum and bass,5
32940,bba11721-9195-4a6c-8218-a128c9ef5846,Keiko Matsui,jazz,2
44954,4a4ee089-93b1-4470-af9a-6ff575d32704,The Prodigy,breakbeat,14
2219161,b5bd7361-267a-4fbc-901b-4d5d9fa828a0,joxer,united states,2
4685,2f106f2f-5990-4f50-9590-3fa8da941f98,As Friends Rust,emotional hardcore,2
10208,64585ad9-a908-422f-b675-8ab7386d5164,Rednex,eurodance,3
923313,5b6ebfe0-f72b-4902-bba9-74c8af0f1af0,The 1975,indie rock,7
1010609,1882fe91-cdd9-49c9-9956-8e06a3810bd4,Sabrina Carpenter,2020s,2
1000,66fc5bf8-daa4-4241-b378-9bc9077939d2,Tool,progressive metal,39
2940520,3db4bf7e-787e-41b5-8acf-0641e1a59fd1,Katarsis,alternative rock,2
9298,7ac055fa-e357-4890-9098-010b8094a900,Alabama,country,7
1591692,850a8b03-98a7-4fd3-afbd-5e5520b4ef5f,Conan Gray,ballad,3
262731,73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,barbadian,3
2116,0c502791-4ee9-4c5f-9696-0602b721ff3b,Electric Light Orchestra,crossover prog,2
2867,6d072aa8-c851-49c5-92f9-cbca05f4bed9,Orchestral Manoeuvres in the Dark,new wave,8
34722,d9951785-7906-4daf-9a60-21753bf64aa9,Emperor,metal,5
14218,3231d12a-c42d-4977-b2a4-a6e4d87978e1,Tosca,electronica,2
1955621,5772eb29-043f-4616-9f96-2bb060c890d7,Umbra Vitae,metal,2
2985980,530b8db8-7209-4ef2-be92-0855c558afe4,VVS,k-pop,2
51,2d67239c-aa40-4ad5-a807-9052b66857a6,Le Tigre,riot grrrl,4
32940,bba11721-9195-4a6c-8218-a128c9ef5846,Keiko Matsui,smooth jazz,2
23185,5938c629-1d06-480b-9780-859b153af11e,Paulina Rubio,trap,2
161353,480dbe19-5198-4f26-b240-f8f2c89e6ca8,40 Winks,instrumental hip hop,2
2538671,44a46843-d06c-4dbf-ac21-7849acb8d051,Sir Warts on my Cock III,lolicore,2
2210,57fca0e2-f9ad-4ae6-af9d-6a6f50cbcd5f,Vangelis,progressive rock,2
2210,57fca0e2-f9ad-4ae6-af9d-6a6f50cbcd5f,Vangelis,film score,2
10208,64585ad9-a908-422f-b675-8ab7386d5164,Rednex,euro house,3
14218,3231d12a-c42d-4977-b2a4-a6e4d87978e1,Tosca,trip hop,2
569695,248e5e46-5ea0-4725-8882-1e72f08f37ba,Christine Jensen,jazz,2
230927,9940c604-2456-4193-a403-ab18420bc1e9,Booka Shade,house,2
2210,57fca0e2-f9ad-4ae6-af9d-6a6f50cbcd5f,Vangelis,instrumental,6
2210,57fca0e2-f9ad-4ae6-af9d-6a6f50cbcd5f,Vangelis,greek,5
81964,4ebb5ad3-9018-407d-8c24-c03011ab9ac6,American Football,indie rock,4
3564,2ad06109-0a52-4b7b-8b7a-ca7c10baf597,Rick Wakeman,symphonic prog,6
2210,57fca0e2-f9ad-4ae6-af9d-6a6f50cbcd5f,Vangelis,progressive electronic,2
2210,57fca0e2-f9ad-4ae6-af9d-6a6f50cbcd5f,Vangelis,experimental,3
2210,57fca0e2-f9ad-4ae6-af9d-6a6f50cbcd5f,Vangelis,ambient,3
2448339,83184df9-44e4-41c9-ac6d-adeee4059afd,Unknown Subject,death metal,2
2210,57fca0e2-f9ad-4ae6-af9d-6a6f50cbcd5f,Vangelis,soundtrack,6
2210,57fca0e2-f9ad-4ae6-af9d-6a6f50cbcd5f,Vangelis,new age,10
1462933,a1fe77b8-8ce0-49d5-b64c-ba42f116d4b8,Grima,atmospheric black metal,4
14218,3231d12a-c42d-4977-b2a4-a6e4d87978e1,Tosca,ambient techno,2
2116,0c502791-4ee9-4c5f-9696-0602b721ff3b,Electric Light Orchestra,progressive rock,13
2210,57fca0e2-f9ad-4ae6-af9d-6a6f50cbcd5f,Vangelis,electronic,15
1907738,80b54212-19f5-42ce-bfd7-e08db9c298ae,Go_A,electro house,2
2448294,a2e28973-6771-4d89-bb36-35a5d38c2837,Pedrem,@pedremoriginal,3
2300649,60ab3c2e-6969-4197-9317-fc46162c7a84,.multibeat,lo-fi hip hop,2
3564,2ad06109-0a52-4b7b-8b7a-ca7c10baf597,Rick Wakeman,classical,2
1027930,fff5d9bf-ebc5-46fb-b445-838aef486fa3,Abdulla Rashim,techno,3
1181440,3a0719ac-28d4-4202-8362-fe76acc2f6a6,BARELY ALIVE,dubstep,5
9842,00ce2ec6-5ccb-4dc3-ac89-08779926d2b3,David Sanborn,jazz,3
248363,5e00c39c-9c65-420f-aa26-d68f414a74c6,Alison Goldfrapp,electronic,2
1173639,fa58cf24-0e44-421d-8519-8bf461dcfaa5,Mitski,indie,2
85503,d7db24ec-d95b-409a-9841-afd946701435,Roy Acuff,country,2
1366936,6dddd7a2-5583-49d0-a8b2-9ee46d04f27e,Official髭男dism,pop rock,4
2339234,0c341c7d-ca13-471f-971d-430321d811c6,Perception Confused,progressive metal,2
2300649,60ab3c2e-6969-4197-9317-fc46162c7a84,.multibeat,instrumental hip hop,2
829184,35c420fc-79cb-4837-8c42-f455b3d8a328,Nelver,drum and bass,5
3515,ad996aef-cc1c-42ac-af5c-619c370f4b8a,"Emerson, Lake & Palmer",symphonic prog,6
9842,00ce2ec6-5ccb-4dc3-ac89-08779926d2b3,David Sanborn,jazz-funk,2
9842,00ce2ec6-5ccb-4dc3-ac89-08779926d2b3,David Sanborn,smooth jazz,2
14529,7c687bbb-ba1a-496d-919a-f322530739e4,Fish,progressive rock,2
1555057,fd9e3126-0818-4344-80a7-db5a6753059f,The Chase,indie,3
931720,2df67f25-ce0c-499a-959b-3b939f45ce12,SoGreatandPowerful,philosophy,3
1949788,a248f7c7-e000-4e33-bf08-aa087807bace,Bryson Gray,hip hop,2
2210,57fca0e2-f9ad-4ae6-af9d-6a6f50cbcd5f,Vangelis,death by covid-19,3
2300649,60ab3c2e-6969-4197-9317-fc46162c7a84,.multibeat,lo-fi,2
108466,4528d6b2-dd5a-4114-a09e-e0d491547e09,Hudson & Landry,comedy,2
57676,3f2e4c21-aa25-4f47-9b27-5f34de04aa0f,Paffendorf,euro-trance,2
1512897,025f5a84-5051-4cbc-b9be-27dfd997a236,Wędrowcy~Tułacze~Zbiegi,post-punk,2
385,7b7b1e6f-e73e-41a0-9d72-8f0b30c6992d,Chumbawamba,political,2
2448294,a2e28973-6771-4d89-bb36-35a5d38c2837,Pedrem,@pedrem,3
2448294,a2e28973-6771-4d89-bb36-35a5d38c2837,Pedrem,@djpedrem,3
1555057,fd9e3126-0818-4344-80a7-db5a6753059f,The Chase,rock,3
50643,d397a3c7-0c24-4ce7-b9a8-36da7ed2fc86,Electric Sandwich,krautrock,3
2245931,c46c2525-be24-422d-b364-f260b37b113d,HM333XO,electronic,7
3680,a7f7df4a-77d8-4f12-8acd-5c60c93f4de8,坂本龍一,experimental,2
3005,97aeedc1-f252-4cfa-a8d8-c895c490532f,Lucky Dube,reggae,2
2579252,cded24f3-361e-4179-8f26-4209479f6187,Loossemble,girl group,3
2427905,e5a2ad03-b5bd-4c56-97ce-bb574f00a19e,Lay Bankz,pop rap,2
463915,57843aed-c1c1-4f45-9859-478dd999bc18,School of Seven Bells,shoegaze,2
165984,6b95d8de-1a49-4065-83c2-9596aaa36689,Rosa Yemen,no wave,2
2448267,3a922123-bc79-4939-96d6-26a8d5fa40d8,usedcvnt,breakcore,4
2448267,3a922123-bc79-4939-96d6-26a8d5fa40d8,usedcvnt,jungle,2
3680,a7f7df4a-77d8-4f12-8acd-5c60c93f4de8,坂本龍一,ambient,5
3680,a7f7df4a-77d8-4f12-8acd-5c60c93f4de8,坂本龍一,film score,3
2062491,13ee6347-1814-496c-8a81-cd69582fb1a9,$kyhi,lo-fi hip hop,2
128611,66f8692c-966d-4dfb-a2ed-babf51241922,The Enid,symphonic prog,2
2936835,cd4dd149-3f3d-4ab0-a0d9-ef9773208013,Hey Riddle Riddle,comedy,2
2427905,e5a2ad03-b5bd-4c56-97ce-bb574f00a19e,Lay Bankz,jersey club rap,2
353716,4a42c82e-7c16-4d1e-8fab-ebc70b294656,Jackie Shane,r&b,3
780130,b208959a-d768-4bb2-b6e3-85aeb2d1cb68,Hysteria,punk,2
745878,484b0721-ae64-4212-9a2b-6fc21e0ed64e,Långfinger,rock,2
357574,351f742b-35b8-4ebc-9646-78790503fcda,Matt Andersen,blues,3
2519453,24dc3278-a059-475e-8d74-267635522a8b,Better Lovers,metalcore,3
3680,a7f7df4a-77d8-4f12-8acd-5c60c93f4de8,坂本龍一,art pop,3
2427905,e5a2ad03-b5bd-4c56-97ce-bb574f00a19e,Lay Bankz,hip hop,2
1596530,3ed40054-97ab-4783-b3c3-15c2c7b06546,緑黄色社会,j-pop,3
698756,260b6184-8828-48eb-945c-bc4cb6fc34ca,Charli xcx,2010s,2
